,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
39,s0e39,32.0,285.0,20,0,M20,4119.299924073891,4068.307014830164,-3150.0,9879.606172397607,4376.807370558929,2550.0,ENTm1
40,s0e40,0.0,300.0,20,0,M20,4120.848057467708,4053.3871192878037,-3150.0,9879.769511435778,4360.917591290092,2550.0,ENTm1
41,s0e41,32.0,300.0,20,0,M20,4120.848057467708,4053.3871192878037,-3150.0,9879.769511435778,4360.917591290092,2550.0,ENTm1
42,s0e42,0.0,315.0,20,0,M20,4122.396190861525,4038.4672237454433,-3150.0,9879.932850473946,4345.027812021253,2550.0,ENTm1
43,s0e43,32.0,315.0,20,0,M20,4122.396190861525,4038.4672237454433,-3150.0,9879.932850473946,4345.027812021253,2550.0,ENTm1
44,s0e44,0.0,330.0,20,0,M20,4123.944324255342,4023.5473282030825,-3150.0,9880.096189512116,4329.138032752415,2550.0,ENTm1
45,s0e45,32.0,330.0,20,0,M20,4123.944324255342,4023.5473282030825,-3150.0,9880.096189512116,4329.138032752415,2550.0,ENTm1
46,s0e46,0.0,345.0,20,0,M20,4125.4924576491585,4008.627432660722,-3150.0,9880.259528550287,4313.248253483576,2550.0,ENTm1
47,s0e47,32.0,345.0,20,0,M20,4125.4924576491585,4008.627432660722,-3150.0,9880.259528550287,4313.248253483576,2550.0,ENTm1
48,s0e288,0.0,2160.0,20,0,M20,4312.81659830101,2203.320072035101,-3150.0,9900.023552168877,2390.5849619541523,2550.0,VISpl6a
49,s0e289,32.0,2160.0,20,0,M20,4312.81659830101,2203.320072035101,-3150.0,9900.023552168877,2390.5849619541523,2550.0,VISpl6a
50,s0e290,0.0,2175.0,20,0,M20,4314.364731694827,2188.4001764927407,-3150.0,9900.186891207048,2374.6951826853146,2550.0,VISpl6a
51,s0e291,32.0,2175.0,20,0,M20,4314.364731694827,2188.4001764927407,-3150.0,9900.186891207048,2374.6951826853146,2550.0,VISpl6a
52,s0e292,0.0,2190.0,20,0,M20,4315.912865088644,2173.48028095038,-3150.0,9900.350230245218,2358.8054034164757,2550.0,VISpl6a
53,s0e293,32.0,2190.0,20,0,M20,4315.912865088644,2173.48028095038,-3150.0,9900.350230245218,2358.8054034164757,2550.0,VISpl6a
54,s0e294,0.0,2205.0,20,0,M20,4317.460998482461,2158.5603854080196,-3150.0,9900.513569283388,2342.915624147638,2550.0,VISpl6a
55,s0e295,32.0,2205.0,20,0,M20,4317.460998482461,2158.5603854080196,-3150.0,9900.513569283388,2342.915624147638,2550.0,VISpl6a
56,s0e296,0.0,2220.0,20,0,M20,4319.009131876278,2143.640489865659,-3150.0,9900.676908321559,2327.0258448787995,2550.0,VISpl6a
57,s0e297,32.0,2220.0,20,0,M20,4319.009131876278,2143.640489865659,-3150.0,9900.676908321559,2327.0258448787995,2550.0,VISpl6a
58,s0e298,0.0,2235.0,20,0,M20,4320.557265270095,2128.7205943232984,-3150.0,9900.840247359729,2311.1360656099614,2550.0,VISpl6a
59,s0e299,32.0,2235.0,20,0,M20,4320.557265270095,2128.7205943232984,-3150.0,9900.840247359729,2311.1360656099614,2550.0,VISpl6a
60,s0e300,0.0,2250.0,20,0,M20,4322.105398663912,2113.800698780938,-3150.0,9901.0035863979,2295.246286341123,2550.0,VISpl6a
61,s0e301,32.0,2250.0,20,0,M20,4322.105398663912,2113.800698780938,-3150.0,9901.0035863979,2295.246286341123,2550.0,VISpl6a
62,s0e302,0.0,2265.0,20,0,M20,4323.653532057729,2098.8808032385778,-3150.0,9901.16692543607,2279.3565070722852,2550.0,VISpl5
63,s0e303,32.0,2265.0,20,0,M20,4323.653532057729,2098.8808032385778,-3150.0,9901.16692543607,2279.3565070722852,2550.0,VISpl5
64,s0e304,0.0,2280.0,20,0,M20,4325.2016654515455,2083.960907696217,-3150.0,9901.33026447424,2263.4667278034462,2550.0,VISpl5
65,s0e305,32.0,2280.0,20,0,M20,4325.2016654515455,2083.960907696217,-3150.0,9901.33026447424,2263.4667278034462,2550.0,VISpl5
66,s0e306,0.0,2295.0,20,0,M20,4326.749798845362,2069.0410121538566,-3150.0,9901.493603512408,2247.576948534609,2550.0,VISpl5
67,s0e307,32.0,2295.0,20,0,M20,4326.749798845362,2069.0410121538566,-3150.0,9901.493603512408,2247.576948534609,2550.0,VISpl5
68,s0e308,0.0,2310.0,20,0,M20,4328.297932239179,2054.1211166114963,-3150.0,9901.656942550579,2231.6871692657705,2550.0,VISpl5
